"countries","West Nile Virus","Dengue","Rabies","Tuberculosis","Respiratory Illness","Meningitis","Not Yet Classified","Poisoning","Pests","Measles","Listeriosis","Legionnaires'","Pneumonia","Influenza","BSE","Swine Flu H1N1","Gastroenteritis","Other Plant Disease","Malaria","Cholera","St. Louis Encephalitis","Diarrhea","Yellow Fever","Melioidosis","Other Human Disease","Avian Influenza","HIV/AIDS","Undiagnosed","Leptospirosis","Hantavirus","Whooping Cough","Trichinosis","E. coli","Equine Influenza","Fever","Polio","Lassa Fever","Norovirus","Salmonella","Coronavirus","Schmallenberg","Typhoid","SARS","Bovine TB","Toxoplasmosis","C. difficile","Anthrax","CJD","Bovine Pleuropneumonia","Waterborne Illness","Babesiosis","MRSA","Mycobacteria, non-TB","Lyme Disease","Parvovirus","Other Animal Disease","Valley Fever","Campylobacter","Botulism","Hand, Foot and Mouth Disease","Syphilis","Hepatitis A","Otitis media","Chicken Pox","Cryptosporidium","Swine Flu H3N2","Fungal Meningitis","Encephalitis","Aspergillosis","Eastern Equine Encephalitis","White nose syndrome","Gonorrhea","HFM-CoxsackieA","Antibiotic resistance","Epizootic Hemorrhagic Disease","Foodborne Illness","Foot and Mouth","Hepatitis C","Hepatitis","Tick-borne disease","Hepatitis E","Marburg Fever","Ebola","Nipah/Hendra Virus","Chronic/Non-Infectious Disease","Animal Die-off","Food-related toxin","Plague","Sexually Transmitted Infection","African Swine Fever","Algae","Mumps","Bacterial Meningitis","Meningitis - Neisseria","Chagas","Hospital-Related Infection","Vibrio, noncholera","Tick-borne Encephalitis","Environmental","Chikungunya","Equine Herpes Virus","Dysentery","Canine Influenza","null","Scabies","Newcastle Disease","Classical Swine Fever","Canine distemper","HFM-Enterovirus71","Enterovirus","Bluetongue","Brucellosis","Lice","Conjunctivitis","Blastomycosis","P. aeruginosa","Equine Infectious Anemia","Diphtheria","Hepatitis B","Leprosy","Scrub Typhus","Chronic Wasting Disease","Arenavirus","Japanese Encephalitis","Peste des petits ruminants","Protozoa, miscellaneous","Rocky Mountain Spotted Fever","Vaccine Complication","Shingles","Tularemia","Staph","Human Bocavirus","Vibrio vulnificus","Monkeypox","Hemorrhagic Fever","Bronchitis/Bronchiolitis","Vibrio parahaemolyticus","Echinococcosis","Amoeba","Tetanus","Vesicular Stomatitis","Trypanosomiasis","Leishmaniasis","Lumpy Skin Disease","Rift Valley Fever","Shigellosis","Guinea Worm","Feline panleukopenia virus","Ringworm","Blue Ear","Avian Cholera","Onchocerciasis","Herpes","Sheep/Goat Pox","Strep","Histoplasmosis","Viral Meningitis","Crimean-Congo Hemorrhagic Fever","Psittacosis","Schistosomiasis","Rash","Free Living Amoeba","Amebiasis","Cold","Typhus","Rickettsia","Rubella","Ross River Virus","Filariasis","Myiasis","Enterococcus","Sepsis","Paralytic Shellfish Poisoning","Rotavirus","Scarlet Fever","Bartonella","La Crosse Encephalitis","Acinetobacter baumannii"
"Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United States",2523.5,105,292,40,22,3413,198,8,45,22,335,41,9,182,3,35,27,23,2,12,0,6,0,0,11,0,6,22,3,276,520,0,195,0,14,0,0,32,859,0,3,3,0,0,0,0,33,3,0,451.5,15,45,41,12,26,36,25,9,73,31,69,3,0,44,14,400.5,60,22,16,272,4,13,22,22,456,3,22,29,1,15,0,0,0,0,0,69,3,41,0,0,62,3,26,6,0,0,3,0,97,0,15,0,7,0,23,44,0,27,0,0,3,2,3,9,11,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,9,0,3,0,0,3,8,0,4,0,44,3,0,0,0,18,0,2,0,0,0,0,0,0,16,6,18,0,0,0,11,0,0,0,18,0,0,0,0,0,0,3,6,2,0,0,3,0
"India",0,843,14,3,0,3,0,0,0,0,0,0,6,16,0,191,20,2,82,10,0,24,0,0,0,22,0,12,3,0,0,0,0,0,3,21,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,39,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,9,2,13,46,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican Republic",0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,137,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,109,0,0,1,49,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,6,0,0,7,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,112,16,0,6,4,0,9,0,0,0,0,7,19,0,11,0,0,3,0,0,3,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"China",9,165,25,6,3,19,206,36,24,29,0,0,12,35,0,4,26,6,2,616,0,23,0,0,5,198,96,7,0,0,4,0,12,0,0,0,0,9,3,90,0,2,32,0,0,0,928,0,0,0,12,0,0,0,0,0,0,0,0,118,3,0,0,0,0,0,0,6,0,0,0,0,0,9,0,18,85,0,6,3,0,0,4,0,0,0,11,187,6,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,16,0,0,0,24,0,0,0,6,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uganda",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,421.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
