country	disease	DISEASE_COUNT
United Kingdom	Anthrax	15
United Kingdom	Legionnaires'	13
United Kingdom	Schmallenberg	13
United Kingdom	Dengue	7
United Kingdom	SARS	7
United Kingdom	Salmonella	7
United Kingdom	Undiagnosed	7
United Kingdom	Algae	6
United Kingdom	Animal Die-off	6
United Kingdom	Mumps	6
United Kingdom	Equine Infectious Anemia	5
United Kingdom	Bovine TB	4
United Kingdom	CJD	4
United Kingdom	Crimean-Congo Hemorrhagic Fever	4
United Kingdom	Gastroenteritis	4
United Kingdom	Meningitis	4
United Kingdom	Other Plant Disease	4
United Kingdom	Respiratory Illness	4
United Kingdom	Rubella	4
United Kingdom	Cryptosporidium	3
United Kingdom	Not Yet Classified	3
United Kingdom	Tuberculosis	3
United Kingdom	Hepatitis C	2
United Kingdom	Herpes	2
United Kingdom	Influenza	2
United Kingdom	Malaria	2
United Kingdom	Other Human Disease	2
United Kingdom	Poisoning	2
United Kingdom	Typhoid	2
United Kingdom	Viral Meningitis	2
United Kingdom	Antibiotic resistance	1
United Kingdom	Bacterial Meningitis	1
United Kingdom	C. difficile	1
United Kingdom	Cholera	1
United Kingdom	Food-related toxin	1
United Kingdom	Hantavirus	1
United Kingdom	P. aeruginosa	1
United Kingdom	Pneumonia	1
United Kingdom	Shigellosis	1
United Kingdom	Strep	1
United Kingdom	Toxoplasmosis	1
United Kingdom	Waterborne Illness	1
United States	Meningitis	1045
United States	West Nile Virus	885
United States	Waterborne Illness	426
United States	Salmonella	333
United States	Not Yet Classified	175
United States	Whooping Cough	168
United States	Listeriosis	166
United States	Epizootic Hemorrhagic Disease	156
United States	Swine Flu H3N2	132
United States	Rabies	128
United States	Eastern Equine Encephalitis	97
United States	Hantavirus	83
United States	E. coli	78
United States	Environmental	70
United States	Influenza	62
United States	Dengue	34
United States	Algae	30
United States	Botulism	27
United States	Animal Die-off	24
United States	Syphilis	23
United States	Fungal Meningitis	22
United States	Pests	20
United States	Chronic Wasting Disease	16
United States	Chicken Pox	15
United States	MRSA	15
United States	Vesicular Stomatitis	15
United States	Newcastle Disease	14
United States	Plague	14
United States	Tuberculosis	14
United States	Legionnaires'	13
United States	Canine distemper	12
United States	Fever	12
United States	Hand, Foot and Mouth Disease	12
United States	Mycobacteria, non-TB	12
United States	Other Animal Disease	12
United States	Swine Flu H1N1	12
United States	Anthrax	11
United States	Norovirus	11
United States	Hepatitis C	10
United States	Valley Fever	10
United States	Gastroenteritis	9
United States	Other Plant Disease	9
United States	Parvovirus	9
United States	Scabies	9
United States	HFM-CoxsackieA	8
United States	Antibiotic resistance	7
United States	Babesiosis	7
United States	Bacterial Meningitis	7
United States	Encephalitis	7
United States	Foot and Mouth	7
United States	Measles	7
United States	Respiratory Illness	7
United States	Undiagnosed	7
United States	Shigellosis	6
United States	Strep	6
United States	Typhus	6
United States	Viral Meningitis	6
United States	Aspergillosis	5
United States	Cryptosporidium	5
United States	Equine Herpes Virus	5
United States	Gonorrhea	5
United States	Lyme Disease	5
United States	Tick-borne disease	5
United States	Blastomycosis	4
United States	Campylobacter	4
United States	Conjunctivitis	4
United States	Rash	4
United States	Canine Influenza	3
United States	Cholera	3
United States	Other Human Disease	3
United States	Paralytic Shellfish Poisoning	3
United States	Pneumonia	3
United States	Poisoning	3
United States	Staph	3
United States	Vibrio parahaemolyticus	3
United States	Arenavirus	2
United States	Diarrhea	2
United States	HIV/AIDS	2
United States	Histoplasmosis	2
United States	Meningitis - Neisseria	2
United States	Amoeba	1
United States	BSE	1
United States	Bluetongue	1
United States	Bronchitis/Bronchiolitis	1
United States	Brucellosis	1
United States	CJD	1
United States	Feline panleukopenia virus	1
United States	Food-related toxin	1
United States	Foodborne Illness	1
United States	Hepatitis	1
United States	Hepatitis A	1
United States	La Crosse Encephalitis	1
United States	Leptospirosis	1
United States	Lice	1
United States	Malaria	1
United States	Mumps	1
United States	Rotavirus	1
United States	Schmallenberg	1
United States	Sepsis	1
United States	Trypanosomiasis	1
United States	Typhoid	1
United States	Vibrio vulnificus	1
United States	Vibrio, noncholera	1
United States	White nose syndrome	1
Uruguay	Dengue	1
Uruguay	Influenza	1
Uruguay	Poisoning	1
Uruguay	Respiratory Illness	1
Uruguay	Syphilis	1
Uruguay	Whooping Cough	1
Uzbekistan	Not Yet Classified	1
Uzbekistan	Sheep/Goat Pox	1
Venezuela	Dengue	36
Venezuela	Meningitis	16
Venezuela	Cholera	3
Venezuela	Diarrhea	2
Venezuela	Other Human Disease	2
Venezuela	Undiagnosed	2
Venezuela	Anthrax	1
Venezuela	Fever	1
Venezuela	Hepatitis	1
Venezuela	Hepatitis E	1
Venezuela	Hospital-Related Infection	1
Venezuela	Leishmaniasis	1
Venezuela	Not Yet Classified	1
Venezuela	Respiratory Illness	1
Venezuela	Swine Flu H1N1	1
Vietnam	Avian Influenza	65
Vietnam	Dengue	14
Vietnam	Hand, Foot and Mouth Disease	5
Vietnam	Amoeba	4
Vietnam	Conjunctivitis	3
Vietnam	Food-related toxin	3
Vietnam	Influenza	3
Vietnam	Blue Ear	2
Vietnam	Foodborne Illness	2
Vietnam	Gastroenteritis	2
Vietnam	HFM-Enterovirus71	2
Vietnam	Not Yet Classified	2
Vietnam	Rabies	2
Vietnam	Strep	2
Vietnam	Avian Cholera	1
Vietnam	Pests	1
Vietnam	Poisoning	1
Vietnam	Respiratory Illness	1
Yemen	Dengue	6
Yemen	Chikungunya	1
Yemen	Foodborne Illness	1
Yemen	Mumps	1
Yemen	Undiagnosed	1
Zambia	Cholera	10
Zambia	Ebola	2
Zambia	Influenza	2
Zambia	Foot and Mouth	1
Zambia	Measles	1
Zambia	Undiagnosed	1
Zimbabwe	Anthrax	8
Zimbabwe	Typhoid	4
Zimbabwe	Diarrhea	1
Zimbabwe	Influenza	1
Zimbabwe	Trypanosomiasis	1
Zimbabwe	Waterborne Illness	1
